Tract ID,STATE2KX,CNTY2KX,TRACT2KX,e(0),se(e(0)),Abridged life table flag
47157010820,47,157,010820,72.7,2.018,3
47157002400,47,157,002400,73.5,2.7375,3
47157011020,47,157,011020,74.7,3.3863,3
47157000100,47,157,000100,79.1,2.4187,3
47157008000,47,157,008000,74.9,1.706,3
47157001600,47,157,001600,78.9,1.6518,3
47157011500,47,157,011500,67.3,1.7966,3
47157005500,47,157,005500,65.3,2.223,3
47157003000,47,157,003000,69.8,1.4906,1
47157008800,47,157,008800,68.9,1.4999,3
47157009600,47,157,009600,82.3,1.4998,3
47157009800,47,157,009800,76.2,1.1766,2
47157021311,47,157,021311,83.7,1.8187,3
47157002800,47,157,002800,73.2,2.3561,3
47157020541,47,157,020541,74.5,1.4962,1
47157020542,47,157,020542,73.1,1.6746,2
47157006400,47,157,006400,73.2,3.1914,3
47157021010,47,157,021010,81.5,2.6001,1
47157003900,47,157,003900,66.5,1.9409,3
47157010810,47,157,010810,72,1.4834,1
47157010220,47,157,010220,70.8,1.3909,1
47157009300,47,157,009300,77.7,1.5828,3
47157010710,47,157,010710,75.4,1.8781,3
47157000400,47,157,000400,72,1.3676,2
47157006800,47,157,006800,68,2.3859,3
47157022130,47,157,022130,73.2,1.7667,1
47157021724,47,157,021724,74.4,1.8889,3
47157006000,47,157,006000,72.1,1.7866,3
47157021710,47,157,021710,71.2,3.4674,3
47157011100,47,157,011100,66.6,3.2036,3
47157020610,47,157,020610,74.1,1.9809,1
47157011400,47,157,011400,71.7,1.9455,2
47157002700,47,157,002700,75.1,1.9399,2
47157007821,47,157,007821,71.9,1.7195,3
47157007822,47,157,007822,70.9,2.6641,3
47157003500,47,157,003500,78.4,1.7838,3
47157022022,47,157,022022,67.6,2.1998,3
47157001700,47,157,001700,74.6,1.5078,3
47157022220,47,157,022220,71.5,1.0547,2
47157022024,47,157,022024,72.6,1.7615,1
47157022321,47,157,022321,71.2,1.7564,3
47157005600,47,157,005600,69.4,1.6143,1
47157022410,47,157,022410,75.8,2.0137,3
47157001900,47,157,001900,67.2,2.0606,3
47157003100,47,157,003100,78.6,1.7433,3
47157009700,47,157,009700,72,1.9274,1
47157008700,47,157,008700,75,1.4048,3
47157021342,47,157,021342,79.4,1.4416,3
47157021744,47,157,021744,77.6,1.3979,3
47157006700,47,157,006700,66,1.8702,1
47157007810,47,157,007810,68.3,1.73,3
47157022023,47,157,022023,72.7,1.6971,2
47157021746,47,157,021746,73.8,1.3782,2
47157021111,47,157,021111,73.5,2.0319,3
47157021112,47,157,021112,73.8,1.7804,1
47157006600,47,157,006600,72.8,1.8627,3
47157022330,47,157,022330,68.3,1.7418,3
47157022700,47,157,022700,70.1,1.4872,1
47157020512,47,157,020512,72.6,1.5317,3
47157003600,47,157,003600,76.9,2.5691,3
47157000300,47,157,000300,71.5,1.4179,2
47157022310,47,157,022310,69.2,1.5049,1
47157010000,47,157,010000,73.5,2.2474,3
47157021122,47,157,021122,76.1,2.0269,3
47157021125,47,157,021125,80.2,1.9172,3
47157011800,47,157,011800,75.6,1.6735,3
47157020511,47,157,020511,75.6,1.9202,3
47157021312,47,157,021312,78.8,1.1876,3
47157000900,47,157,000900,71.3,1.1434,2
47157009400,47,157,009400,79.3,1.767,3
47157007000,47,157,007000,71.9,1.6071,3
47157006200,47,157,006200,73.4,1.9477,3
47157007100,47,157,007100,81.4,3.1261,3
47157008120,47,157,008120,70.4,1.7969,3
47157022322,47,157,022322,71.7,2.2078,1
47157011300,47,157,011300,69.7,3.5338,3
47157005300,47,157,005300,71.5,1.1312,2
47157003200,47,157,003200,68.5,1.8995,3
47157002600,47,157,002600,83.2,3.7052,3
47157004300,47,157,004300,79.9,3.7346,2
47157005700,47,157,005700,66.8,1.8315,3
47157021142,47,157,021142,77.4,1.2387,3
47157020621,47,157,020621,76.9,1.3908,3
47157007400,47,157,007400,76.5,1.8144,3
47157020622,47,157,020622,78.3,1.6171,3
47157000700,47,157,000700,71.2,1.534,3
47157008600,47,157,008600,78.9,0.9568,3
47157007500,47,157,007500,71.3,1.1058,2
47157000600,47,157,000600,71.5,1.0618,2
47157011700,47,157,011700,67.7,2.645,3
47157008110,47,157,008110,68.4,1.9526,3
47157022122,47,157,022122,76,2.9645,3
47157010500,47,157,010500,68.5,2.3875,3
47157022210,47,157,022210,72.1,1.5674,3
47157009902,47,157,009902,70.8,2.1173,3
47157005000,47,157,005000,67.4,2.9986,3
47157010610,47,157,010610,70.3,1.4122,1
47157002500,47,157,002500,75.5,2.5519,1
47157022600,47,157,022600,73.3,2.736,2
47157011010,47,157,011010,72.5,1.1666,2
47157021113,47,157,021113,77.5,1.9148,2
47157020531,47,157,020531,74.5,2.2423,2
47157020532,47,157,020532,73.6,3.2908,1
47157005800,47,157,005800,66.5,3.2456,3
47157021320,47,157,021320,81.2,1.2111,3
47157021121,47,157,021121,81.2,2.0093,3
47157008200,47,157,008200,74.2,2.3512,1
47157000800,47,157,000800,67.3,1.9774,3
47157001400,47,157,001400,66.2,3.313,3
47157009500,47,157,009500,78.1,1.0752,3
47157021754,47,157,021754,75.6,2.6987,3
47157021126,47,157,021126,79.9,1.6278,2
47157022111,47,157,022111,71.3,1.4934,3
47157022112,47,157,022112,74.5,1.5155,1
47157001500,47,157,001500,68.3,2.8297,3
47157020651,47,157,020651,78.8,2.3629,1
47157021141,47,157,021141,82.6,3.2039,3
47157021140,47,157,021140,79.7,2.1835,3
47157007900,47,157,007900,71.3,1.4453,3
47157010210,47,157,010210,70.8,1.8952,3
47157011200,47,157,011200,65.6,1.9841,3
47157003300,47,157,003300,78.8,1.9878,3
47157008900,47,157,008900,68.8,1.4594,3
47157010720,47,157,010720,73.8,1.5944,3
