Tract ID,STATE2KX,CNTY2KX,TRACT2KX,e(0),se(e(0)),Abridged life table flag
41051006200,41,051,006200,80.8,1.6742,3
41051000802,41,051,000802,78.2,2.36,3
41051000801,41,051,000801,80.7,1.8576,3
41051007900,41,051,007900,74.2,1.2415,3
41051001000,41,051,001000,79.8,2.0048,3
41051003502,41,051,003502,76.4,1.6392,3
41051003501,41,051,003501,80.4,1.8689,3
41051007700,41,051,007700,76.5,2.3591,3
41005020800,41,005,020800,81.1,2.4521,3
41051006100,41,051,006100,81.8,1.0674,2
41051008902,41,051,008902,76,1.2771,1
41051004200,41,051,004200,73.2,1.6295,3
41067030402,41,067,030402,81.6,1.7317,3
41051005000,41,051,005000,81.2,3.0449,2
41051009702,41,051,009702,76.3,1.3789,1
41051003200,41,051,003200,77.9,1.4576,3
41051009701,41,051,009701,76.6,1.27,3
41051002600,41,051,002600,82.5,2.079,3
41051004900,41,051,004900,78.9,1.3091,2
41051006402,41,051,006402,85.5,2.6507,3
41051006403,41,051,006403,81.4,1.5055,3
41051006404,41,051,006404,79.1,1.4864,3
41051000301,41,051,000301,77.1,1.2506,3
41051000302,41,051,000302,82.6,1.2244,3
41051008400,41,051,008400,76.6,1.4713,3
41051002801,41,051,002801,81.2,1.3492,2
41051002802,41,051,002802,81.1,2.6151,3
41051001900,41,051,001900,82.8,2.0476,3
41051004700,41,051,004700,79.2,2.989,3
41051000902,41,051,000902,76.7,1.4714,2
41051000901,41,051,000901,83.5,2.4313,3
41051007800,41,051,007800,74,1.1024,3
41051001302,41,051,001302,78.8,1.4176,3
41051001301,41,051,001301,76.5,2.4086,3
41051005900,41,051,005900,84.7,2.2067,3
41051003402,41,051,003402,80,1.7601,2
41051003401,41,051,003401,78.1,1.4251,2
41051009803,41,051,009803,77.5,1.219,3
41051008002,41,051,008002,75.6,1.1182,3
41051007600,41,051,007600,75.6,1.9297,3
41051008001,41,051,008001,81.2,2.0175,3
41051009302,41,051,009302,79.6,1.6159,3
41051009301,41,051,009301,77.2,1.6885,3
41051003902,41,051,003902,81.2,2.0601,3
41051008301,41,051,008301,80.1,2.3005,3
41051003901,41,051,003901,77.8,1.9152,3
41067030502,41,067,030502,81.6,1.2174,3
41051004002,41,051,004002,78.7,1.2846,3
41051004001,41,051,004001,75.2,1.6411,1
41051001400,41,051,001400,81.2,1.7729,2
41005020900,41,005,020900,79.9,1.9876,3
41051008302,41,051,008302,71.1,1.22,3
41051000402,41,051,000402,77.3,1.397,3
41051000401,41,051,000401,78.3,1.2525,3
41051003100,41,051,003100,82.8,2.5441,3
41051001202,41,051,001202,78.2,3.1372,3
41051002702,41,051,002702,74.4,1.8382,3
41051002701,41,051,002701,85.3,2.6484,3
41051006501,41,051,006501,86,2.6096,3
41051006502,41,051,006502,80.9,1.8173,3
41051005800,41,051,005800,81.8,1.8871,3
41051002901,41,051,002901,79.8,1.6876,3
41051002903,41,051,002903,82.9,1.9033,3
41051002902,41,051,002902,79.8,1.4931,3
41051001801,41,051,001801,79.5,2.5439,3
41051001802,41,051,001802,79.1,1.2852,3
41051009101,41,051,009101,76.9,1.343,3
41051009102,41,051,009102,77.9,2.0488,1
41051003701,41,051,003701,75.5,1.633,3
41051003702,41,051,003702,77.8,2.1914,3
41051002203,41,051,002203,80,1.9215,2
41051008901,41,051,008901,77,1.0851,3
41051009903,41,051,009903,80.1,1.2166,3
41051000601,41,051,000601,78.5,1.8725,3
41051000602,41,051,000602,75.1,1.5603,3
41051003301,41,051,003301,74.9,3.0443,3
41051003302,41,051,003302,74.7,2.1355,3
41067030102,41,067,030102,80.2,1.3745,3
41051007500,41,051,007500,75.5,1.1894,3
41051008100,41,051,008100,73.6,1.3268,3
41051009202,41,051,009202,80.2,2.3452,3
41051009201,41,051,009201,75.5,1.0386,2
41051009501,41,051,009501,80.8,1.5419,3
41051009502,41,051,009502,79.3,1.4102,3
41051003803,41,051,003803,76.5,1.6027,3
41051003802,41,051,003802,80.7,1.9464,3
41051003801,41,051,003801,78.3,2.1787,3
41051002401,41,051,002401,81.1,2.1654,3
41051002402,41,051,002402,77.1,2.2036,3
41051005200,41,051,005200,77.6,2.7566,3
41051004102,41,051,004102,77.6,1.4251,3
41051004101,41,051,004101,73.5,1.5403,3
41051001702,41,051,001702,80.3,2.4899,3
41051001701,41,051,001701,77.7,1.3654,3
41051008600,41,051,008600,77.4,2.617,3
41051000502,41,051,000502,77.4,1.2158,3
41051000501,41,051,000501,77.3,1.9718,3
41051003000,41,051,003000,79.7,1.1212,3
41051002100,41,051,002100,80.5,1.9765,2
41051002000,41,051,002000,80.1,2.6123,3
41051008800,41,051,008800,78.1,1.2518,2
41051006602,41,051,006602,82.4,2.1843,3
41051006601,41,051,006601,79,2.0037,3
41051008201,41,051,008201,78.6,1.7867,3
41051008202,41,051,008202,76.2,1.1545,3
41051000100,41,051,000100,81.3,1.6003,3
41051009000,41,051,009000,74.6,1.2544,1
41051001102,41,051,001102,81.8,3.7098,2
41051010200,41,051,010200,77.1,1.9224,3
41051004500,41,051,004500,80.1,3.3678,3
41051003601,41,051,003601,77.9,1.9365,3
41051003603,41,051,003603,76,1.8384,3
41051003602,41,051,003602,78.8,1.3429,3
41051005100,41,051,005100,72.7,3.4216,3
41051007000,41,051,007000,89.1,3.4629,3
41051002303,41,051,002303,77,2.3101,3
41051009804,41,051,009804,76.5,1.6866,3
41051006001,41,051,006001,79.5,1.9026,3
41051006002,41,051,006002,86.7,2.4173,3
41051001500,41,051,001500,87.8,3.7537,3
41051000701,41,051,000701,77,1.9204,3
41051000702,41,051,000702,75.9,1.3286,3
41067030600,41,067,030600,81.5,2.3505,3
41005022206,41,005,022206,82.8,1.9888,3
41051007400,41,051,007400,76.7,2.034,3
41051006801,41,051,006801,82.5,2.5685,3
41051006802,41,051,006802,82.6,2.6278,3
41005022208,41,005,022208,81.5,1.379,1
41051006900,41,051,006900,81.4,2.4172,3
41051009400,41,051,009400,81.3,1.1092,3
41051008500,41,051,008500,74.7,1.2423,3
41051002501,41,051,002501,82.7,2.0071,3
41051004800,41,051,004800,81.2,2.1971,2
41051002502,41,051,002502,80.5,2.3749,3
41051004602,41,051,004602,81.8,2.1388,2
41051006300,41,051,006300,80.5,1.1055,3
41051000200,41,051,000200,81.4,1.8265,3
41051001602,41,051,001602,79.4,2.0488,3
41051001601,41,051,001601,77.4,0.9696,3
41051008700,41,051,008700,76.7,1.5241,3
41051007201,41,051,007201,79,2.3034,3
41051006702,41,051,006702,79.8,1.3728,3
41051006701,41,051,006701,79.3,1.3817,3
